,AanestysId,KieliId,IstuntoVPVuosi,IstuntoNumero,IstuntoPvm,IstuntoIlmoitettuAlkuaika,IstuntoAlkuaika,PJOtsikko,AanestysNumero,AanestysAlkuaika,AanestysLoppuaika,AanestysMitatoity,AanestysOtsikko,AanestysLisaOtsikko,PaaKohtaTunniste,PaaKohtaOtsikko,PaaKohtaHuomautus,KohtaKasittelyOtsikko,KohtaKasittelyVaihe,KohtaJarjestys,KohtaTunniste,KohtaOtsikko,KohtaHuomautus,AanestysTulosJaa,AanestysTulosEi,AanestysTulosTyhjia,AanestysTulosPoissa,AanestysTulosYhteensa,Url,AanestysPoytakirja,AanestysPoytakirjaUrl,AanestysValtiopaivaasia,AanestysValtiopaivaasiaUrl,AliKohtaTunniste,Imported
26011,39269.0,1,2017.0,133,2017-12-08 00:00:00,2017-12-08 13:00:00,2017-12-08 13:02:59.303,Puhemiehenä toimi puhemies Maria Lohela . Puhemies ei osallistu äänestykseen.,21,2017-12-08 13:19:42.863,2017-12-08 13:19:42.863,0,Hyväksyminen / hylkääminen,,,,,Toinen käsittely,"Toinen käsittely, ainoa käsittely",12,9,Hallituksen esitys eduskunnalle laeiksi kansaneläkkeen ja eräiden muiden etuuksien vuoden 2018 indeksitarkistuksista sekä kansaneläkeindeksistä annetun lain 2 §:n ja eräiden muiden lakien muuttamisesta,,106.0,77.0,0         ,16        ,199       ,/aanestystulos/21/133/2017,PTK 133/2017 vp,/valtiopaivaasiakirjat/PTK+133/2017,HE 123/2017 vp,/valtiopaivaasiat/HE+123/2017,9,2018-06-02 10:14:00
26077,39335.0,1,2017.0,136,2017-12-12 00:00:00,2017-12-12 14:00:00,2017-12-12 13:59:18.453,Puhemiehenä toimi toinen varapuhemies Arto Satonen . Puhemies ei osallistu äänestykseen.,9,2017-12-12 14:09:19.157,2017-12-12 14:09:19.157,0,Hyväksyminen / hylkääminen,,,,,Toinen käsittely,Toinen käsittely,7,6,Hallituksen esitys eduskunnalle laiksi yleisestä asumistuesta annetun lain muuttamisesta,,96.0,86.0,0         ,17        ,199       ,/aanestystulos/9/136/2017,PTK 136/2017 vp,/valtiopaivaasiakirjat/PTK+136/2017,HE 161/2017 vp,/valtiopaivaasiat/HE+161/2017,6,2018-06-02 10:14:00
27885,41145.0,1,2018.0,50,2018-05-15 21:00:00,2018-05-16 11:00:00,2018-05-16 11:03:07,Puhemiehenä toimi ensimmäinen varapuhemies Mauri Pekkarinen . Puhemies ei osallistu äänestykseen.,5,2018-05-16 11:07:46,2018-05-16 11:07:46,0,Hyväksyminen / hylkääminen,,,,,Ainoa käsittely,"Osittain ainoa, osittain toinen käsittely",6,4,Hallituksen esitys eduskunnalle Kanadan sekä Euroopan unionin ja sen jäsenvaltioiden välisen laaja-alaisen talous- ja kauppasopimuksen hyväksymiseksi ja voimaansaattamiseksi,,141.0,42.0,0         ,16        ,199       ,/aanestystulos/5/50/2018,PTK 50/2018 vp,/valtiopaivaasiakirjat/PTK+50/2018,HE 149/2017 vp,/valtiopaivaasiat/HE+149/2017,4,2018-05-17 00:00:26.076118
27891,41151.0,1,2018.0,54,2018-05-22 21:00:00,2018-05-23 11:00:00,2018-05-23 10:59:45,Puhemiehenä toimi toinen varapuhemies Tuula Haatainen . Puhemies ei osallistu äänestykseen.,1,2018-05-23 11:02:46,2018-05-23 11:02:46,0,Hyväksyminen / hylkääminen,,,,,Toinen käsittely,Toinen käsittely,3,2,Hallituksen esitys eduskunnalle laeiksi uusiutuvilla energialähteillä tuotetun sähkön tuotantotuesta annetun lain ja tuulivoiman kompensaatioalueista annetun lain 6 §:n muuttamisesta,,148.0,15.0,0         ,36        ,199       ,/aanestystulos/1/54/2018,PTK 54/2018 vp,/valtiopaivaasiakirjat/PTK+54/2018,HE 175/2017 vp,/valtiopaivaasiat/HE+175/2017,2,2018-05-24 00:00:22.785515
28269,41529.0,1,2018.0,122,2018-11-28 00:00:00,2018-11-28 14:00:00,2018-11-28 14:01:56,Puhemiehenä toimi puhemies Paula Risikko . Puhemies ei osallistu äänestykseen.,3,2018-11-28 14:05:40,2018-11-28 14:05:40,0,Hyväksyminen / hylkääminen,,,,,Toinen käsittely,Toinen käsittely,4,3,Hallituksen esitys eduskunnalle laeiksi opetus- ja kulttuuritoimen rahoituksesta annetun lain muuttamisesta ja väliaikaisesta muuttamisesta sekä vapaasta sivistystyöstä annetun lain 11 b §:n muuttamisesta,,87.0,79.0,0         ,33        ,199       ,/aanestystulos/3/122/2018,PTK 122/2018 vp,/valtiopaivaasiakirjat/PTK+122/2018,HE 126/2018 vp,/valtiopaivaasiat/HE+126/2018,3,2020-10-16 12:00:00
28447,41707.0,1,2018.0,133,2018-12-17 22:00:00,2018-12-18 08:00:00,2018-12-18 08:01:05,Puhemiehenä toimi puhemies Paula Risikko . Puhemies ei osallistu äänestykseen.,11,2018-12-18 08:10:34,2018-12-18 08:10:34,0,2. lakiehdotus Hyväksyminen / hylkääminen,,,,,Toinen käsittely,Toinen käsittely,7,5,Hallituksen esitys eduskunnalle laeiksi kansaneläkkeen ja eräiden muiden etuuksien indeksitarkistuksista vuonna 2019 sekä kansaneläkeindeksistä annetun lain 2 §:n ja toimeentulotuesta annetun lain 9 §:n muuttamisesta,,97.0,84.0,0         ,18        ,199       ,/aanestystulos/11/133/2018,PTK 133/2018 vp,/valtiopaivaasiakirjat/PTK+133/2018,HE 160/2018 vp,/valtiopaivaasiat/HE+160/2018,5,2018-12-19 01:00:29.595843
28449,41709.0,1,2018.0,133,2018-12-17 22:00:00,2018-12-18 08:00:00,2018-12-18 08:01:05,Puhemiehenä toimi puhemies Paula Risikko . Puhemies ei osallistu äänestykseen.,12,2018-12-18 08:11:02,2018-12-18 08:11:02,0,1. lakiehdotus Hyväksyminen / hylkääminen,,,,,Toinen käsittely,Toinen käsittely,7,5,Hallituksen esitys eduskunnalle laeiksi kansaneläkkeen ja eräiden muiden etuuksien indeksitarkistuksista vuonna 2019 sekä kansaneläkeindeksistä annetun lain 2 §:n ja toimeentulotuesta annetun lain 9 §:n muuttamisesta,,97.0,84.0,0         ,18        ,199       ,/aanestystulos/12/133/2018,PTK 133/2018 vp,/valtiopaivaasiakirjat/PTK+133/2018,HE 160/2018 vp,/valtiopaivaasiat/HE+160/2018,5,2018-12-19 01:00:31.455637
28451,41711.0,1,2018.0,133,2018-12-17 22:00:00,2018-12-18 08:00:00,2018-12-18 08:01:05,Puhemiehenä toimi puhemies Paula Risikko . Puhemies ei osallistu äänestykseen.,13,2018-12-18 08:11:28,2018-12-18 08:11:28,0,3. lakiehdotus Hyväksyminen / hylkääminen,,,,,Toinen käsittely,Toinen käsittely,7,5,Hallituksen esitys eduskunnalle laeiksi kansaneläkkeen ja eräiden muiden etuuksien indeksitarkistuksista vuonna 2019 sekä kansaneläkeindeksistä annetun lain 2 §:n ja toimeentulotuesta annetun lain 9 §:n muuttamisesta,,133.0,48.0,0         ,18        ,199       ,/aanestystulos/13/133/2018,PTK 133/2018 vp,/valtiopaivaasiakirjat/PTK+133/2018,HE 160/2018 vp,/valtiopaivaasiat/HE+160/2018,5,2018-12-19 01:00:32.610962
33722,46989.0,1,2021.0,58,2021-05-17 21:00:00,2021-05-18 11:00:00,2021-05-18 10:45:01,Puhemiehenä toimi puhemies Anu Vehviläinen . Puhemies ei osallistu äänestykseen.,1,2021-05-18 11:02:56,2021-05-18 11:02:56,0,Hyväksyminen / hylkääminen,,,,,Ainoa käsittely,"Osittain ainoa, osittain toinen käsittely",5,3,"Hallituksen esitys eduskunnalle Euroopan unionin omien varojen järjestelmästä annetun neuvoston päätöksen (EU, Euratom) 2020/2053 hyväksymisestä",,134.0,57.0,2         ,6         ,199       ,/aanestystulos/1/58/2021,PTK 58/2021 vp,/valtiopaivaasiakirjat/PTK+58/2021,HE 260/2020 vp,/valtiopaivaasiat/HE+260/2020,3,2021-05-18 12:00:17.869137
33942,47209.0,1,2021.0,83,2021-06-22 21:00:00,2021-06-23 11:00:00,2021-06-23 10:45:01,Puhemiehenä toimi puhemies Anu Vehviläinen . Puhemies ei osallistu äänestykseen.,1,2021-06-23 11:05:05,2021-06-23 11:05:05,0,Hyväksyminen / hylkääminen,,,,,Ainoa käsittely,"Osittain ainoa, osittain toinen käsittely",6,3,Hallituksen esitys eduskunnalle hyvinvointialueiden perustamista ja sosiaali- ja terveydenhuollon sekä pelastustoimen järjestämisen uudistusta koskevaksi lainsäädännöksi sekä Euroopan paikallisen itsehallinnon peruskirjan 12 ja 13 artiklan mukaisen ilmoituksen antamiseksi,,105.0,77.0,0         ,17        ,199       ,/aanestystulos/1/83/2021,PTK 83/2021 vp,/valtiopaivaasiakirjat/PTK+83/2021,HE 241/2020 vp,/valtiopaivaasiat/HE+241/2020,3,2021-06-23 12:00:26.742867
34198,47469.0,1,2021.0,118,2021-10-14 21:00:00,2021-10-15 10:00:00,2021-10-15 10:03:15,Puhemiehenä toimi ensimmäinen varapuhemies Antti Rinne . Puhemies ei osallistu äänestykseen.,3,2021-10-15 11:46:15,2021-10-15 11:46:15,0,Hyväksyminen / hylkääminen,,,,,Toinen käsittely,"Toinen käsittely, ainoa käsittely",6,3,Hallituksen esitys eduskunnalle laiksi tartuntatautilain muuttamisesta ja väliaikaisesta muuttamisesta,,105.0,33.0,1         ,60        ,199       ,/aanestystulos/3/118/2021,PTK 118/2021 vp,/valtiopaivaasiakirjat/PTK+118/2021,HE 131/2021 vp,/valtiopaivaasiat/HE+131/2021,3,2021-10-15 12:00:30.297169
34250,47521.0,1,2021.0,131,2021-11-09 22:00:00,2021-11-10 12:00:00,2021-11-10 12:00:14,Puhemiehenä toimi puhemies Anu Vehviläinen . Puhemies ei osallistu äänestykseen.,1,2021-11-10 12:02:06,2021-11-10 12:02:06,0,Sopimuksen hyväksyminen / hylkääminen,,,,,Ainoa käsittely,"Osittain ainoa, osittain toinen käsittely",5,3,Hallituksen esitys eduskunnalle Euroopan vakausmekanismista tehdyn sopimuksen muuttamisesta tehdyn sopimuksen hyväksymiseksi ja voimaansaattamiseksi,,123.0,41.0,0         ,35        ,199       ,/aanestystulos/1/131/2021,PTK 131/2021 vp,/valtiopaivaasiakirjat/PTK+131/2021,HE 99/2021 vp,/valtiopaivaasiat/HE+99/2021,3,2021-11-10 13:00:04.810424
34252,47523.0,1,2021.0,131,2021-11-09 22:00:00,2021-11-10 12:00:00,2021-11-10 12:00:14,Puhemiehenä toimi puhemies Anu Vehviläinen . Puhemies ei osallistu äänestykseen.,2,2021-11-10 12:02:37,2021-11-10 12:02:37,0,Lakiehdotuksen hyväksyminen / hylkääminen,,,,,Ainoa käsittely,"Osittain ainoa, osittain toinen käsittely",5,3,Hallituksen esitys eduskunnalle Euroopan vakausmekanismista tehdyn sopimuksen muuttamisesta tehdyn sopimuksen hyväksymiseksi ja voimaansaattamiseksi,,121.0,42.0,0         ,36        ,199       ,/aanestystulos/2/131/2021,PTK 131/2021 vp,/valtiopaivaasiakirjat/PTK+131/2021,HE 99/2021 vp,/valtiopaivaasiat/HE+99/2021,3,2021-11-10 13:00:10.406275
35700,48971.0,1,2021.0,157,2021-12-20 22:00:00,2021-12-21 08:00:00,2021-12-21 07:45:00,Puhemiehenä toimi puhemies Anu Vehviläinen . Puhemies ei osallistu äänestykseen.,1,2021-12-21 08:02:17,2021-12-21 08:02:17,0,Hyväksyminen / hylkääminen,,,,,Toinen käsittely,"Osittain toinen, osittain ainoa käsittely",3,2,Hallituksen esitys eduskunnalle laeiksi tartuntatautilain väliaikaisesta muuttamisesta ja liikenteen palveluista annetun lain väliaikaisesta muuttamisesta,,106.0,36.0,0         ,57        ,199       ,/aanestystulos/1/157/2021,PTK 157/2021 vp,/valtiopaivaasiakirjat/PTK+157/2021,HE 226/2021 vp,/valtiopaivaasiat/HE+226/2021,2,2021-12-22 01:00:16.197079
35712,48983.0,1,2021.0,159,2021-12-27 22:00:00,2021-12-28 12:00:00,2021-12-28 11:45:13,Puhemiehenä toimi ensimmäinen varapuhemies Antti Rinne . Puhemies ei osallistu äänestykseen.,1,2021-12-28 14:46:17,2021-12-28 14:46:17,0,Hyväksyminen / hylkääminen,,,,,Toinen käsittely,"Toinen käsittely, ainoa käsittely",5,3,Hallituksen esitys eduskunnalle laiksi tartuntatautilain väliaikaisesta muuttamisesta,,107.0,32.0,0         ,60        ,199       ,/aanestystulos/1/159/2021,PTK 159/2021 vp,/valtiopaivaasiakirjat/PTK+159/2021,HE 230/2021 vp,/valtiopaivaasiat/HE+230/2021,3,2021-12-29 01:00:16.615382
35854,49127.0,1,2022.0,53,2022-05-10 21:00:00,2022-05-11 11:00:00,2022-05-11 11:05:28,Puhemiehenä toimi toinen varapuhemies Juho Eerola . Puhemies ei osallistu äänestykseen.,1,2022-05-11 11:06:46,2022-05-11 11:06:46,0,Hyväksyminen / hylkääminen,,,,,Toinen käsittely,"Osittain toinen, osittain ainoa käsittely",3,2,Hallituksen esitys eduskunnalle laiksi työntekijän eläkelain muuttamisesta ja siihen liittyviksi laeiksi,,116.0,34.0,0         ,49        ,199       ,/aanestystulos/1/53/2022,PTK 53/2022 vp,/valtiopaivaasiakirjat/PTK+53/2022,HE 30/2022 vp,/valtiopaivaasiat/HE+30/2022,2,2022-05-11 11:58:42.174388
35866,49139.0,1,2022.0,63,2022-05-24 21:00:00,2022-05-25 11:00:00,2022-05-25 11:00:17,Puhemiehenä toimi ensimmäinen varapuhemies Antti Rinne . Puhemies ei osallistu äänestykseen.,1,2022-05-25 11:02:06,2022-05-25 11:02:06,0,Hyväksyminen / hylkääminen,,,,,Toinen käsittely,"Toinen käsittely, ainoa käsittely",3,2,Hallituksen esitys eduskunnalle ilmastolaiksi,,121.0,42.0,0         ,36        ,199       ,/aanestystulos/1/63/2022,PTK 63/2022 vp,/valtiopaivaasiakirjat/PTK+63/2022,HE 27/2022 vp,/valtiopaivaasiat/HE+27/2022,2,2022-06-01 23:58:48.582363
36116,49391.0,1,2022.0,95,2022-09-18 21:00:00,2022-09-19 09:00:00,2022-09-19 08:59:36,Puhemiehenä toimi puhemies Matti Vanhanen . Puhemies ei osallistu äänestykseen.,1,2022-09-19 14:07:03,2022-09-19 14:07:03,0,Hyväksyminen / hylkääminen,,,,,Toinen käsittely,"Osittain toinen, osittain ainoa käsittely",7,6,Hallituksen esitys eduskunnalle laiksi välttämättömän terveydenhuollon ja kotihoidon turvaamisesta työtaistelun aikana,,109.0,38.0,1         ,51        ,199       ,/aanestystulos/1/95/2022,PTK 95/2022 vp,/valtiopaivaasiakirjat/PTK+95/2022,HE 130/2022 vp,/valtiopaivaasiat/HE+130/2022,6,2022-09-19 23:59:08.559431
36170,49445.0,1,2022.0,112,2022-10-18 21:00:00,2022-10-19 11:00:00,2022-10-19 10:59:42,Puhemiehenä toimi puhemies Matti Vanhanen . Puhemies ei osallistu äänestykseen.,1,2022-10-19 11:01:38,2022-10-19 11:01:38,0,Kansalaisaloitteen hylkääminen / kansalaisaloitteen hyväksyminen,,,,,Ainoa käsittely,"Osittain ainoa, osittain toinen käsittely",3,2,Verkkokalastus kiellettävä saimaannorpan levinneisyysalueella,,121.0,34.0,4         ,40        ,199       ,/aanestystulos/1/112/2022,PTK 112/2022 vp,/valtiopaivaasiakirjat/PTK+112/2022,KAA 8/2019 vp,/valtiopaivaasiat/KAA+8/2019,2,2022-10-19 11:59:18.550754
